Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
NOP10,0,-0.396934308,0.784,0.915,0
CD81,0,-0.398068901,0.65,0.85,0
DUSP1,1.46E-07,-0.399043181,0.457,0.365,0.003268112
LY96,0,-0.400511057,0.444,0.742,0
SMIM30,0,-0.405469188,0.131,0.492,0
RPL9,0,-0.406698357,0.989,0.997,0
RPS6,0,-0.407145127,0.986,0.998,0
CDC42,0,-0.408033735,0.796,0.867,0
APLP2,0,-0.413654067,0.631,0.867,0
AC026369.3,0,-0.414827714,0.3,0.608,0
MGST3,0,-0.416660317,0.72,0.922,0
CLEC12A,0,-0.419281406,0.251,0.61,0
MINOS1,0,-0.419613908,0.478,0.765,0
FTL,0,-0.423854164,0.997,1,0
ELOB,0,-0.425533679,0.91,0.978,0
TYROBP,0,-0.43048334,0.755,0.996,0
DPYSL2,0,-0.430634895,0.166,0.538,0
SEC11A,0,-0.430757156,0.618,0.813,0
CKLF,0,-0.43178082,0.353,0.72,0
C1QA,0,-0.433491128,0.65,0.984,0
PPP1CB,0,-0.439601275,0.206,0.562,0
FTH1,0,-0.442846951,0.999,1,0
RPS18,0,-0.451377476,0.993,1,0
HNRNPH1,0,-0.45214766,0.176,0.51,0
NPC2,0,-0.455292847,0.742,0.961,0
TMSB4X,0,-0.458045651,0.979,1,0
ATP1B1,0,-0.463994241,0.292,0.59,0
UQCRB,0,-0.464007929,0.874,0.952,0
RPS2,0,-0.47428301,0.992,1,0
AC020656.1,0,-0.474875712,0.15,0.43,0
TIMP2,0,-0.477453133,0.359,0.694,0
FCER1G,0,-0.478078908,0.728,0.992,0
RPL37A,0,-0.478578455,0.994,1,0
RPL15,0,-0.478793623,0.994,0.999,0
BLOC1S1,0,-0.479368913,0.393,0.757,0
STXBP2,0,-0.491295046,0.558,0.79,0
UQCR11,0,-0.493991628,0.9,0.963,0
CCNI,0,-0.494264612,0.479,0.779,0
MT-CYB,0,-0.506870785,0.93,0.986,0
CTNNB1,0,-0.506907361,0.259,0.522,0
MRC1,0,-0.51001622,0.322,0.721,0
MT-ND1,0,-0.51174481,0.973,0.991,0
RPS16,0,-0.518470974,0.986,0.999,0
RPL34,0,-0.521585148,0.997,1,0
HLA-DMA,0,-0.523767907,0.72,0.956,0
HLA-DQB1,0,-0.525439928,0.7,0.978,0
UBA52,0,-0.526119244,0.989,0.999,0
BRI3,0,-0.528628124,0.638,0.903,0
MT-CO1,0,-0.532163919,0.994,0.999,0
POLR2L,0,-0.534386969,0.611,0.87,0
PSMA2,0,-0.538709023,0.061,0.555,0
SCD,0,-0.541158309,0.306,0.684,0
UBB,0,-0.54344853,0.932,0.985,0
APOE,0,-0.556531255,0.64,0.984,0
JUND,0,-0.559507896,0.231,0.501,0
PSMA7,0,-0.559510771,0.877,0.959,0
EVI2B,0,-0.561888033,0.308,0.661,0
LGALS1,0,-0.566502865,0.85,0.969,0
RPL35,0,-0.567184005,0.988,0.999,0
NDUFC2,0,-0.567504696,0.056,0.581,0
EIF3E,0,-0.569627829,0.429,0.802,0
S100A4,0,-0.582930741,0.897,0.993,0
INHBA,0,-0.585023354,0.149,0.527,0
S100A9,0,-0.586355695,0.589,0.956,0
CALM2,0,-0.593567361,0.908,0.985,0
ATP5MPL,0,-0.594657117,0.765,0.935,0
CST3,0,-0.59591309,0.757,0.995,0
CD63,0,-0.596867609,0.835,0.99,0
MARCO,0,-0.604548382,0.571,0.946,0
ATP5PO,0,-0.611155707,0.083,0.635,0
RPL27,0,-0.618836327,0.961,0.995,0
GCHFR,0,-0.620107061,0.552,0.898,0
SMIM25,0,-0.620321302,0.479,0.849,0
HLA-DRB1,0,-0.6301626,0.894,0.997,0
SNHG25,0,-0.641693146,0.008,0.522,0
MT-ND3,0,-0.641889002,0.958,0.995,0
CTSS,0,-0.642523498,0.829,0.989,0
RPLP2,0,-0.644705461,0.994,1,0
NEAT1,0,-0.648021255,0.717,0.924,0
MSR1,0,-0.648547728,0.572,0.869,0
RPS29,0,-0.655947874,0.992,0.999,0
NDUFB8,0,-0.660278343,0.038,0.631,0
HLA-DPB1,0,-0.66741577,0.875,0.993,0
CTSD,0,-0.683232985,0.754,0.992,0
FOLR3,0,-0.700453498,0.064,0.316,0
NDUFA13,0,-0.702174143,0.472,0.889,0
APOC1,0,-0.706764077,0.734,0.996,0
RPL38,0,-0.714434688,0.978,0.998,0
RPS11,0,-0.718389285,0.903,0.99,0
CEBPB,0,-0.722679813,0.577,0.882,0
NDUFB1,0,-0.725864639,0.717,0.938,0
ARL6IP1,0,-0.732116601,0.28,0.783,0
VSIG4,0,-0.736002501,0.373,0.851,0
LST1,0,-0.752618535,0.583,0.94,0
RPL26,0,-0.761508611,0.985,0.999,0
TSPO,0,-0.771769049,0.769,0.977,0
FBP1,0,-0.777803373,0.486,0.91,0
TFRC,0,-0.7803046,0.271,0.72,0
NDUFA11,0,-0.782529035,0.076,0.743,0
CD52,0,-0.787673204,0.782,0.982,0
ALOX5AP,0,-0.798713791,0.756,0.974,0
CD9,0,-0.802088361,0.596,0.905,0
LTA4H,0,-0.831631355,0.506,0.92,0
RPL31,0,-0.887283685,0.941,0.94,0
FABP4,0,-0.907893978,0.505,0.955,0
RPL7,0,-0.911008055,0.765,0.984,0
TMBIM4,0,-0.936380274,0.144,0.784,0
RPL23,0,-0.971773082,0.667,0.976,0
MT-ND2,0,-0.978273651,0.929,0.998,0
MT-ATP6,0,-1.002154046,0.885,0.975,0
RPL17,0,-1.034434045,0.767,0.95,0
RPL36A,0,-1.041099893,0.741,0.978,0
CSTA,0,-1.079455263,0.321,0.841,0
MT-CO3,0,-1.100254869,0.971,0.999,0
HLA-DRA,0,-1.127615991,0.863,0.999,0
RPL21,0,-1.185000658,0.981,0.999,0
RPL13A,0,-1.196954061,0.948,0.999,0
RPL27A,0,-1.266827921,0.873,0.998,0
RETN,0,-1.28840489,0.234,0.814,0
MT-ND4,0,-1.319213373,0.78,0.997,0
RPS20,0,-1.435265403,0.845,0.996,0
CRIP1,0,-1.477143908,0.517,0.868,0
RPS17,0,-1.611970314,0.275,0.895,0
LYZ,0,-1.650168389,0.675,0.995,0
RPS10,0,-1.708885333,0.192,0.982,0
