Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PLA2G16,0,-0.532838228,0.139,0.565,0
EIF3E,0,-0.533777667,0.309,0.674,0
ATP1B1,0,-0.534132599,0.115,0.488,0
RPL27,0,-0.53495443,0.916,0.984,0
STXBP2,0,-0.543662119,0.654,0.71,0
S100A4,0,-0.546468529,0.904,0.96,0
ITM2B,0,-0.551075143,0.932,0.985,0
RPS2,0,-0.555026969,0.975,0.997,0
S100A13,0,-0.556590644,0.088,0.513,0
VAMP8,0,-0.557149833,0.789,0.934,0
RPLP2,0,-0.557783761,0.987,0.998,0
GPNMB,0,-0.559006965,0.522,0.759,0
NDUFB1,0,-0.561401064,0.715,0.862,0
RPL10A,0,-0.562738597,0.792,0.966,0
OLR1,0,-0.56400516,0.478,0.75,0
RPS14,0,-0.565019083,0.988,0.999,0
PFDN5,0,-0.566281706,0.951,0.992,0
SERPING1,0,-0.56870841,0.72,0.756,0
RPL10,0,-0.570708674,0.992,0.999,0
RPL3,0,-0.571510041,0.856,0.985,0
RPS11,0,-0.579610451,0.869,0.96,0
RPL7,0,-0.579827081,0.805,0.909,0
RPL35,0,-0.586651017,0.949,0.995,0
CALM2,0,-0.592615492,0.84,0.958,0
CTSS,0,-0.593725743,0.87,0.934,0
CFD,0,-0.594241045,0.53,0.685,0
RPS6,0,-0.598572611,0.93,0.994,0
HLA-DMB,0,-0.622112668,0.25,0.686,0
ALOX5,0,-0.63132316,0.151,0.622,0
CYP27A1,0,-0.634801517,0.19,0.651,0
TXNIP,0,-0.636125462,0.763,0.942,0
RPS25,0,-0.650163107,0.955,0.997,0
FCGRT,0,-0.650987207,0.594,0.825,0
TMBIM4,0,-0.652320817,0.164,0.565,0
RPL15,0,-0.661624561,0.965,0.998,0
AC026369.3,0,-0.664412599,0.026,0.502,0
INHBA,0,-0.66582448,0.048,0.398,0
LST1,0,-0.67091087,0.618,0.818,0
CST3,0,-0.694550805,0.909,0.914,0
RPL37A,0,-0.694620968,0.974,0.998,0
RPL38,0,-0.697258126,0.938,0.991,0
RPL34,0,-0.697381019,0.991,0.999,0
JAML,0,-0.703517331,0.039,0.598,0
RPL23A,0,-0.705537737,0.923,0.994,0
VSIG4,0,-0.722124377,0.28,0.688,0
MGST3,0,-0.727027892,0.597,0.853,0
RPS19,0,-0.736332541,0.995,0.999,0
TSPO,0,-0.748225489,0.818,0.906,0
ACP5,0,-0.757879929,0.648,0.86,0
RPL23,0,-0.760889038,0.669,0.87,0
MSR1,0,-0.772581197,0.509,0.768,0
SCD,0,-0.775025895,0.085,0.555,0
RPS18,0,-0.796276868,0.953,0.998,0
RPS27,0,-0.797120952,0.997,0.999,0
FN1,0,-0.801640447,0.448,0.577,0
RPL36A,0,-0.816870955,0.741,0.897,0
UBB,0,-0.82243325,0.803,0.967,0
MRC1,0,-0.825426329,0.162,0.585,0
HLA-DMA,0,-0.841415804,0.645,0.875,0
CD9,0,-0.841715755,0.529,0.799,0
RBP4,0,-0.847132861,0.014,0.462,0
HLA-DQA2,0,-0.856422423,0.044,0.322,0
MS4A7,0,-0.857413826,0.609,0.841,0
GRN,0,-0.862707121,0.852,0.897,0
C1QC,0,-0.864876311,0.508,0.81,0
TFRC,0,-0.874120532,0.095,0.567,0
RPL31,0,-0.889333702,0.851,0.94,0
RPL26,0,-0.898072244,0.929,0.994,0
CSTA,0,-0.899782657,0.234,0.663,0
RPS29,0,-0.927793194,0.977,0.997,0
RPL17,0,-0.944639228,0.683,0.887,0
GCHFR,0,-0.952491721,0.387,0.78,0
CES1,0,-0.955149382,0.115,0.579,0
FBP1,0,-0.982080458,0.499,0.765,0
LTA4H,0,-1.000875765,0.377,0.778,0
CD74,0,-1.0177181,0.991,0.997,0
HLA-DPA1,0,-1.066318064,0.862,0.961,0
ALDH2,0,-1.080746589,0.291,0.787,0
HLA-DRB5,0,-1.097539439,0.768,0.763,0
RPS17,0,-1.107970867,0.471,0.683,0
TMSB4X,0,-1.125403838,0.995,0.992,0
MCEMP1,0,-1.160241812,0.186,0.621,0
HLA-DPB1,0,-1.192493258,0.806,0.953,0
RPL21,0,-1.194621953,0.943,0.993,0
RPL27A,0,-1.197594537,0.783,0.955,0
RPL13A,0,-1.204510618,0.848,0.982,0
RPS10,0,-1.205887812,0.378,0.711,0
ALOX5AP,0,-1.206244869,0.508,0.899,0
RPS20,0,-1.232680796,0.769,0.944,0
CRIP1,0,-1.241531484,0.489,0.748,0
RETN,0,-1.277404572,0.135,0.616,0
CD52,0,-1.30499598,0.699,0.914,0
HLA-DQB1,0,-1.308742256,0.604,0.883,0
HLA-DQA1,0,-1.318716298,0.525,0.858,0
MARCO,0,-1.389674443,0.484,0.817,0
NUPR1,0,-1.473905883,0.378,0.767,0
HLA-DRB1,0,-1.513142596,0.916,0.962,0
APOE,0,-1.532725439,0.517,0.866,0
C1QB,0,-1.541508069,0.533,0.863,0
HLA-DRA,0,-1.556623804,0.93,0.952,0
C1QA,0,-1.637700608,0.513,0.87,0
LYZ,0,-1.641169296,0.788,0.886,0
APOC1,0,-2.236341498,0.623,0.906,0
FABP4,0,-2.250102044,0.292,0.801,0
